Altium Designer Pick and Place Locations
D:\PROJECT\Self_Driving_Car\Hardware\Project Outputs for SelfDrivingCar_Project\14-26_2024-05-30_Pick_Place\Pick Place\Pick Place for SelfDrivingCar_PCB.csv

========================================================================================================================
File Design Information:

Date:       30/05/24
Time:       14:26
Revision:   b87b8ae1caee35ec02bfa696682eef4bbbb799d9
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C37","1 pF, 50 VDC","TopLayer","CAP_0603","2171.088","943.386","90","CAP, size 0603, 1 pF, 50 VDC"
"C31","105","TopLayer","tu_1206","2306.677","424.189","90","Dán"
"C30","107","TopLayer","tu_1206","2220.013","424.189","90","Dán"
"C29","105","TopLayer","tu_1206","1149.013","725.612","90","Dán"
"C28","107","TopLayer","tu_1206","1235.013","725.612","90","Dán"
"C27","1 uF, 16 VDC","TopLayer","CAP_0603","1470.013","2932.000","270","CAP, size 0603, 1 uF, 16 VDC"
"C23","100 nF, 16 VDC","TopLayer","CAP_0603","797.958","2578.228","270","CAP, size 0603, 100 nF, 16 VDC"
"C21","100 nF, 16 VDC","TopLayer","CAP_0603","1343.013","2398.323","90","CAP, size 0603, 100 nF, 16 VDC"
"C20","100 nF, 16 VDC","TopLayer","CAP_0603","1281.013","2398.323","90","CAP, size 0603, 100 nF, 16 VDC"
"C19","100 nF, 16 VDC","TopLayer","CAP_0603","1074.170","2975.528","180","CAP, size 0603, 100 nF, 16 VDC"
"C18","4.7 uF, 10 VDC","TopLayer","CAP_0603","1074.170","3038.685","180","CAP, size 0603, 4.7 uF, 10 VDC"
"C17","22 pF, 50 VDC","TopLayer","CAP_0603","1472.013","3239.528","90","CAP, size 0603, 22 pF, 50 VDC"
"C16","22 pF, 50 VDC","TopLayer","CAP_0603","1251.013","3239.528","270","CAP, size 0603, 22 pF, 50 VDC"
"C15","100 nF, 16 VDC","TopLayer","CAP_0603","1270.778","3406.472","270","CAP, size 0603, 100 nF, 16 VDC"
"C14","100 nF, 16 VDC","TopLayer","CAP_0603","869.113","2185.472","90","CAP, size 0603, 100 nF, 16 VDC"
"C13","10 uF, 16 VDC","TopLayer","CAP_0603","932.272","2185.472","90","CAP, size 0603, 10 uF, 16 VDC"
"C12","104","TopLayer","tu_0805","1551.745","1674.289","270","Dán"
"C10","470uF, 35V","TopLayer","WCAP-ASLI_D10H10.5","3191.260","2080.000","180","V-Chip, D10 x H10.5mm, 470uF, 35V"
"C9","100nF","TopLayer","C_0805","2844.013","1375.000","180","Capacitor non-pol"
"C7","47uF, 50V","TopLayer","WCAP-ASLI_D6.3H7.7","3082.041","3097.947","180","V-Chip, D6.3 x H7.7mm, 47uF, 50V"
"C2","220uF, 50V","TopLayer","WCAP-ASLI_D10H10.5","2441.013","2371.000","180","V-Chip, D10 x H10.5mm, 220uF, 50V"
"C3","10 µF, 16 V","TopLayer","TANTALUM_SMD_A","1712.255","2495.000","180","CAP TANT 10uF 10% 16V 1206"
"C5","10 µF, 16 V","TopLayer","TANTALUM_SMD_A","1745.004","1886.827","0","CAP TANT 10uF 10% 16V 1206"
"C1","105","TopLayer","tu_1206","2761.000","2015.000","270","Dán"
